id,name,inserted_at,updated_at
admin,Admin,2018-08-02 11:54:27.000000,2018-08-02 11:54:27.000000
user,User,2018-08-02 11:54:37.000000,2018-08-02 11:54:37.000000
guest,Guest,2018-08-02 11:54:44.000000,2018-08-02 11:54:44.000000
