id,name,inserted_at,updated_at
captions,Captions,2022-09-07 14:33:31,2022-09-07 14:33:32.000000
admin-rewards,Rewards,2022-09-02 19:02:59,2022-09-02 19:03:01.000000
upload-user-csv,upload user csv,2022-09-08 14:55:16,2022-09-08 14:55:17.000000
nearby-recommendations,Nearby Recommendations,2022-07-18 17:48:32,2022-07-18 17:48:34.000000
